rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,drama_or_comedy
m/simple_men,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"The problem with postmodern movies like Simple Men is that they seem to consider us fools for watching them and, on the basis of the evidence on the screen, it's hard to disagree.",Simple Men,"When New York City crook Bill (Robert Burke) is betrayed by his lover, he's left flat broke. With few options left, he decides to meet up with his sibling Dennis (Bill Sage), a recent philosophy grad. When they suddenly learn where their pro ballplayer-turned-terrorist dad, a longtime fugitive, may be hiding out, they embark on a journey to find him. However, they become sidetracked after meeting hip epileptic Elina (Elina Lowensohn) and her pretty sidekick, Kate (Karen Sillas).",,R,"Action & Adventure, Art House & International, Comedy, Romance",Hal Hartley,Hal Hartley,"Robert John Burke, Bill Sage, Karen Sillas, Elina Löwensohn, Holly Marie Combs, Martin Donovan, Chris Cooke, Jeffrey Howard, Mark Chandler Bailey, Joe Stevens, Damian Young, Marietta Marich, John A. MacKay, Bethany Wright, James Prince, Richard Reyes, James Hansen Prince, Ed Geldart, Vivian Lanko, Alissa Alban, Margaret Bowman, Jo Perkins, Mary McKenzie, Matt Malloy",1992-01-01,2012-05-16,105.0,Zenith Entertainment,Fresh,91.0,11.0,Upright,89.0,3605.0,2,10,1,Comedy
m/lola_versus,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2012-06-14,"Unfortunately, Lola lives in a sitcom that deprives her of any intrinsic interest.",Lola Versus,"Just three weeks before her wedding, Lola (Greta Gerwig) finds herself suddenly without a partner when her longtime fiance, Luke (Joel Kinnaman), dumps her. With her 30th birthday looming and being forced to re-enter the New York City dating scene, she feels adrift in a cold world. She leans on her friends (Zoe Lister-Jones, Hamish Linklater) for support but, after a series of romantic humiliations, professional blunders and boozy antics, Lola realizes that she alone is in charge of her fate.",It's fun to see Greta Gerwig mature her acting career but Lola Versus -- with its unpleasant characters and completely familiar script -- does not succeed as her first major leading role.,R,Comedy,Daryl Wein,"Daryl Wein, Zoe Lister-Jones","Greta Gerwig, Joel Kinnaman, Zoe Lister-Jones, Hamish Linklater, Bill Pullman, Debra Winger, Maria Dizzia, Jonathan Sale, Ebon Moss-Bachrach, Adriane Lenox, Ray Iannicelli, Kathryn Kates, Jay Pharoah, Cheyenne Jackson, Kena Anae, Jeanine Moss, Micah Joe Parker, Parisa Fitz-Henley, Bill Kocis, Izzy Ruiz, Tobias John von Freyend, Víctor Cruz, Sandor Tecsy, Rob Yang",2012-06-08,2015-11-25,86.0,Fox Searchlight Pictures,Rotten,36.0,83.0,Spilled,31.0,5288.0,34,30,53,Comedy
m/heart_condition,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"The movie is all over the map, trying whatever seems to work at the moment.",Heart Condition,"Racist police officer Jack Moony (Bob Hoskins) has a vendetta against Napoleon Stone (Denzel Washington), a charismatic black lawyer who is sleeping with Jack's old flame Crystal Gerrity (Chloe Webb). Jack has a heart attack, but his life is saved when he receives Stone's heart, since Stone died mysteriously the same night as Jack was stricken. Stone is not completely gone, however, and as a ghost he is all too happy to give Jack advice on how he should do his job and live his life.",,R,"Comedy, Science Fiction & Fantasy",James D. Parriott,James D. Parriott,"Bob Hoskins, Denzel Washington, Chloe Webb, Roger E. Mosley, Bob Apisa, Jeffrey Meek, Frank R. Roach, Kieran Mulroney, Lisa Stahl, Ray Baker, Eva La Rue, Alan Rachins, Felix, Clayton Landey, Julie Silverman, Phyllis Hamlin, Jeff MacGregor, Mary Catherine Wright, Johnny Johnston, Diane Civita, Ja'Net DuBois, Frank Roach, Monty Landis, Ron Taylor, Kendall McCarthy, Theresa Randle, Mark Lowenthal, Billy Oscar, Leontine Guilliard, Johnnie Johnson, Rick Marzan, Gary Sax, George Kyle, Bill Applebaum, Kenneth J. Martinez, Monte Landis, Johnny Walker, Anthony ""Wink"" Atkinson, Deidre Harris, Dasanea Johnson, Johquache Johnson, Shauntae Johnson, Chick Hearn, Dean Wein, Bobby Bass, Greg Barnett, Tom Huff, Thomas Huff",1990-02-02,2012-08-20,100.0,Sony Pictures Home Entertainment,Rotten,0.0,8.0,Spilled,34.0,4696.0,2,0,8,Comedy
m/seed_of_chucky,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2004-11-15,"Seed of Chucky is actually two movies, one wretched, the other funny.",Seed of Chucky,"Gentle Glen (Billy Boyd) is a ventriloquist's dummy, the offspring of evil doll Chucky (Brad Dourif) and his doll bride (Jennifer Tilly), both of whom are now deceased. When the orphaned Glen hears that a film is being made about his parents, he goes to Hollywood and resurrects them in an attempt to get to know them better. He is horrified when Chucky and his lover embark on a new killing spree, and Chucky is equally horrified that his son has no taste for evil.",Give Seed of Chucky credit for embracing the increasing absurdity of the franchise -- even if the end results really aren't all that funny or entertaining.,R,"Comedy, Horror",Don Mancini,Don Mancini,"Billy Boyd, Jennifer Tilly, Hannah Spearritt, John Waters, Keith-Lee Castle, Redman, Steve Lawton, Tony Gardner, Jason Flemyng, Nicholas Rowe, Stephanie Chambers, Simon James Morgan, Bethany Simons-Danville, Rebecca Santos, Beans El-Balawi, Brad Dourif",2004-11-12,2016-05-23,86.0,Focus Features,Rotten,33.0,76.0,Spilled,38.0,140210.0,18,25,51,Comedy
m/1034067-switch,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2000-01-01,"Switch has an intriguing premise and a terrific performance by Barkin, But it fails to really deliver on its promise.",Switch,"Steve Brooks (Perry King), a sexist womanizer, is killed by a group of his angry former lovers. In heaven, he makes a bargain with God for redemption and agrees to return to Earth. Once there, he must have a sincere relationship with a female and make her fall in love with him. If not, Steve's soul will become the property of the devil (Bruce Martyn Payne). But the devil hedges his bet, and Steve is reincarnated as a woman named Amanda Brooks (Ellen Barkin).",,R,"Comedy, Science Fiction & Fantasy",Blake Edwards,Blake Edwards,"Ellen Barkin, Jimmy Smits, JoBeth Williams, Lorraine Bracco, Perry King, Tony Roberts, Bruce Payne, Bruce Martyn Payne, Lysette Anthony, Victoria Mahoney, Basil Hoffman, Catherine Keener, Kevin Kilner, David Wohl, James Harper, John Lafayette, Jim J. Bullock, Diana Chesney, Joe Flood, Lauren Lloyd, Emma Walton, Louis Eppolito, Yvette Freeman, Dennis A. Paladino, Téa Leoni, Rick Aiello, F. William Parker, Lou Eppolito, Ben Hartigan, David Gale, Dennis Paladino, Jessie Jones, Savant Tanney, Virginia Morris, Robert Clotworthy, Patricia Clipper, Robert Elias, Michelle Wong, Marti Muller, Mindy Lawson, Kimberly Oja, Teri Gold, Lily Mariye, William Shockley, Jennie Nauman, Annette Quinn, Dena Burton, Michelle Reese, Alana Silvani, Jacquelyn Rene Moen, Karen Medak, Tracy Lambert, Taunie Vrenon, Michael Badalucco, Gregory J. Barnett, Greg Barnett, Fred Lerner, Jay R. Goldenberg, Faith Minton, Rebecca Wood, Linda Dona, Helena Apothaker, Elena Statheros, Jim Lovelett, Barbara Schillaci, Robert Towers, Tony Genaro, Ross Brittain, Molly Okuneff, Linda Gary, Richard Provost",1991-05-10,2016-10-01,104.0,HBO Video,Rotten,32.0,19.0,Spilled,43.0,6961.0,3,6,13,Comedy
m/simple_men,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"The problem with postmodern movies like Simple Men is that they seem to consider us fools for watching them and, on the basis of the evidence on the screen, it's hard to disagree.",Simple Men,"When New York City crook Bill (Robert Burke) is betrayed by his lover, he's left flat broke. With few options left, he decides to meet up with his sibling Dennis (Bill Sage), a recent philosophy grad. When they suddenly learn where their pro ballplayer-turned-terrorist dad, a longtime fugitive, may be hiding out, they embark on a journey to find him. However, they become sidetracked after meeting hip epileptic Elina (Elina Lowensohn) and her pretty sidekick, Kate (Karen Sillas).",,R,"Action & Adventure, Art House & International, Comedy, Romance",Hal Hartley,Hal Hartley,"Robert John Burke, Bill Sage, Karen Sillas, Elina Löwensohn, Holly Marie Combs, Martin Donovan, Chris Cooke, Jeffrey Howard, Mark Chandler Bailey, Joe Stevens, Damian Young, Marietta Marich, John A. MacKay, Bethany Wright, James Prince, Richard Reyes, James Hansen Prince, Ed Geldart, Vivian Lanko, Alissa Alban, Margaret Bowman, Jo Perkins, Mary McKenzie, Matt Malloy",1992-01-01,2012-05-16,105.0,Zenith Entertainment,Fresh,91.0,11.0,Upright,89.0,3605.0,2,10,1,Comedy
m/everybodys_famous,Roger Ebert,True,Chicago Sun-Times,Rotten,1.5/4,2001-07-19,"The movie ... was one of this year's Oscar nominees for best foreign film, leading one to wonder what films were passed over to make room for it.",Everybody's Famous!,"An original and hilarious comedy about how far some people are willing to go for fame. When a family man suddenly loses his job, he is desperate to have his daughter succeed as a singer. In a chance meeting he kidnaps the most famous pop star in the country and holds her hostage, demanding to be heard by the music industry.","Though some critics consider Everybody Famous too lightweight to have deserved a slot among the Academy Awards foreign film nominations, this whacky satire of the cult of celebrity makes for loopy, cheerful fun.",R,"Art House & International, Comedy, Musical & Performing Arts",Dominique Deruddere,Dominique Deruddere,"Josse De Pauw, Eva van der Gucht, Werner De Smedt, Thekla Reuten, Victor Löw, Gert Portael, Ianka Fleerackers, Alice Reys, Steve Ryckier, Olivier Ythier, George Arrendell, Hein Sienkiewicz, François Beukelaers, Deen Van der Zaken, Silvia Claes, Heidi Verheyden, Marc Didden, Sien Eggers, Viko Cockx, Lut Hannes, Frank Iwens, Wim Opbrouck, Mario Despiegeleer, Filip Peeters, Christophe Vercoullie, Matthias Sercu, Gunter Van Den Bergh, Myriam Thys, Wouter Talon, Bert Van Nieuwenhuyse, Michel Van Herck, Alain Van Goethem, Wim Opbroeck, Mark Van Eeghem, Sylke Aerts, Caroline Rottier, Hilt de Vos, Sylvia Claes, Christian Nolens, Miriam Thys, Bert Vannieuwenhuyse, Tanja Cloeck, Carl Ridders, Per Eggers, Siegred Vincke, Damiaan Deschrijver, Dominiek Vansteertegem, Hugo Van Den Bremt, Jan Roos, Ivo Kuyl, Christophe Stienlet, Annick Vandercruyssen, Silvia Anglade, Mieke Verdin, Guy Dermul, Max Thijsen",2001-06-06,2017-08-13,99.0,Miramax Films,Rotten,55.0,53.0,Upright,64.0,1354.0,21,29,24,Comedy
m/history_of_the_world_part_i,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2018-11-12,"Mel Brooks's movie History of the World, Part 1 is a rambling, undisciplined, sometimes embarrassing failure from one of the most gifted comic filmmakers around.",History of the World---Part I,"Human history is traced through a series of vignettes, beginning with cavemen awestruck by their own magnificence. Then Moses (Mel Brooks) receives the tablets containing the ""15"" commandments, and Emperor Nero (Dom DeLuise) presides over a madcap Rome with his wife, Nympho (Madeline Kahn). Jumping ahead, the Spanish Inquisition softens repression with song and dance, and a few centuries later Madame Defarge (Cloris Leachman) is fomenting revolution in France.","History of the World: Part I may not have enough comedic inspiration to merit a Part II, but the sporadic cleverness of these anachronistic skits are still a testament to Mel Brooks' gift for farce.",R,Comedy,Mel Brooks,"RONNY GRAHAM, Mel Brooks","Mel Brooks, Dom DeLuise, Harvey Korman, Madeline Kahn, Cloris Leachman, Ron Carey, Gregory Hines, Pamela Stephenson, Andreas Voutsinas, Shecky Green, Sid Caesar, Howard Morris, Rudy De Luca, Mary-Margaret Humes, Orson Welles, Bea Arthur, Charlie Callas, Dena Dietrich, Paul Mazursky, Ron Clark, Jack Riley, Art Metrano, Diane Day, Henny Youngman, Hunter von Leer, Fritz Feld, Hugh Hefner, Pat McCormick, Sid Gould, Jim Steck, John Myhers, Lee Delano, Sidney Lassick, Johnny Silver, Charles Thomas Murphy, Rod Haase, Eileen Saki, John Hurt, Jackie Mason, RONNY GRAHAM, Phil Leeds, Jack Carter, Richard Lewis, Jan Murray, Spike Milligan, John Hillerman, Sydney Lassick, Jonathan Cecil, Andrew Sachs, Fiona Richmond, Nigel Hawthorne, John Gavin, Rusty Goffe, J.J. Barry, Sammy Shore, Michael Champion, Earl Finn, Leigh French, Richard Karron, Susette Carroll, Suzanne Kent, Molly Basler, Christine Dickinson, Deborah Dawes, Lisa Sohm, Michele Drake, Jeana Tomasina, Lisa Welch, Alan U. Schwartz, Janis Schmitt, Ira Miller, Heidi Sorenson, Karen Morton, Kathy Collins, Lori Sutton, Lou Mulford, Henry Kaiser, Zale Kessler, Anthony Messina, Howard Mann, Sandy Helberg, Mitchell Bock, Lee Gilbert, Edward Heim, David Chavez C., John Frayer, Dennon Rawles, Michael Miller, Rick Mason, Royce D. Applegate, Stan Mazin, Dom Salinaro, Sean Barry-Weske, James Roddy, Ted Sprague, Spencer Henderson, Bill Armstrong, John King, Bella Emberg, Geoffrey Larder, George Lane Cooper, Stephanie Marrian, Royce Mills, Mike Cottrell, Gerald Staddon, Monica Teama, Cleo Rocos, Jilly Johnson, Barry Levinson",1981-01-01,2020-01-24,93.0,20th Century Fox Film Corporation,Rotten,58.0,31.0,Upright,81.0,60514.0,3,18,13,Comedy
m/the-foot-fist-way,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2008-06-06,"I cannot recommend this movie, but I can describe it, and then it's up to you...What it does, it does well, even the point of its disgusting final scene.",The Foot Fist Way,"Fred Simmons (Danny R. McBride), a bombastic but hopelessly inept master of a strip-mall dojo, falls to pieces upon discovering his wife's (Mary Jane Bostic) infidelity. Hoping to rebuild his shattered self-respect, he sets out on a quest to meet his longtime movie idol, Chuck ""The Truck"" Wallace (Ben Best), star of the ""Seven Rings of Pain"" trilogy.",The rough edges and biting humor of this martial arts comedy will keep audiences laughing and cringing in turns.,R,Comedy,Jody Hill,"Ben Best, Danny McBride (IV), Jody Hill","Danny McBride (IV), Mary Jane Bostic, Ben Best, Mary-Jane Bostic, Spencer Moreno, Carlos Lopez IV, Jody Hill, Collette Wolfe, Ken Aguilar, Jeff Hoffman, Deborah Loates, Danielle Jarchow, Juan-Carlos Guzman, Nicholas Stanley, Erica Owens, Sean Baxter, Jonathan Ewart, Jonathan M. Ewart, Bruce Cameron, Robert Short III, Raul Doyle, Mitchell Moreno, Randy Gambill, Chris Walldorf, Tyler Baum, Raymond Kowalski, Joey Stephens, Paul C. Hill Jr., Christianna Wallace, Richard Murrell, Sandra Cox, Donna Mae Roberts, Matthew Diskin, Meagan Diskin, Jennifer Brayley, Jeremy Mynes, Joseph Cox, Heather Edmisten, Lucy Hill, Anthony Noles, Thome Tarleton, Karen Diskin, Chasity Newton, Jon Drake, William Grady Jr., Chad Simpson, Molly Somerville, Chase Livengood, Gia Ruiz, Emily Kwong, Jason Street, Erin Fisher, Katherine Murray-Satchell, Jon Henning, Chon Black, Carla Black, Mariah Black, Kaitlyn Abromitis, Courtney Clifford, Erin Gates, Samantha Hayford, Courtney Mays, Libertad Green, Jason Herring, Anna Hollifield, Scott Nurkin, Ad Paroo, Craig Zobel, Dante Gibby",2006-06-24,2013-08-01,87.0,Paramount Vantage,Rotten,54.0,84.0,Spilled,46.0,4866.0,33,45,39,Comedy
m/freddy_got_fingered,Roger Ebert,True,Chicago Sun-Times,Rotten,0/4,2001-04-20,A vomitorium consisting of 93 minutes of Tom Green doing things that a geek in a carnival sideshow would turn down.,Freddy Got Fingered,"Gord Brody (Tom Green) is a struggling cartoonist trying to pitch an animated show to Hollywood executives. When he fails, he returns to his hometown with no choice but to live with his parents and younger brother, Freddy (Eddie Kaye Thomas). His father (Rip Torn) doesn't approve of Gord's career path, and pressures him to gain independence. As father and son exchange barbs, Gord comes up with a lie that changes everything: He claims his dad is molesting Freddy, leading to drastic consequences.","Unfavorably comparing it with such infamously bad titles as Battlefield Earth, a significant number of critics are calling Tom Green's extreme gross-out comedy the worst movie they have ever seen.",R,Comedy,Tom Green (III),"Tom Green (III), Derek Harvie","Tom Green (III), Rip Torn, Marisa Coughlan, Eddie Kaye Thomas, Harland Williams, Anthony Michael Hall, Julie Hagerty, Jackson Davies, Allan H. Gray, Connor Widdows, John R. Taylor, Bob Osborne, Fiona Hogan, George Gordon, Ronald Selmour, Drew Barrymore, Stephen E. Miller, Charles Buettner, Cliff Solomon, David Neale, Scott Heindl, Wendy Chmelauskas, R. Nelson Brown, Jorge Rodriguez, Henry O. Watson, Joe Flaherty, Allan Gray, Lorena Gale, Simon Longmore, Giacomo Baessato, Mike Bullard, Ralph Alderman, Eric Keenleyside, Shaquille O'Neal, Darren Moore, Rick Tae, Noel Fisher, Irene Karas, Ted Friend, Balinder Johal, Kamaljeet Kler, Ralph Wagner",2001-04-20,2017-01-05,87.0,20th Century Fox,Rotten,10.0,94.0,Spilled,56.0,131683.0,33,9,85,Comedy
m/boat_trip,Roger Ebert,True,Chicago Sun-Times,Rotten,0.5/4,2003-03-21,"This is a movie made for nobody, about nothing.",Boat Trip,"After Nick (Horatio Sanz) makes an insensitive remark, his travel agent decides to get some payback by sending him and his best friend, Jerry (Cuba Gooding Jr.), on a cruise for gay men. As the true nature of their situation gradually dawns on them, they start to get over their feelings of homophobia and meet potential mates. For Nick, love takes the form of a gorgeous model, Inga (Victoria Silvstedt), while Jerry develops feelings for dance instructor Gabriella (Roselyn Sánchez).","Boat Trip is a lame, juvenile farce that's heavy on stereotypes and desperate antics but short on brains and laughs.",R,Comedy,Mort Nathan,"Mort Nathan, William Bigelow","Cuba Gooding Jr., Horatio Sanz, Roselyn Sanchez, Vivica A. Fox, Maurice Godin, Roger Moore, Lin Shaye, Victoria Silvstedt, Ken Hudson Campbell, Zen Gesner, William Bumiller, Noah York, Richard Roundtree, Bob Gunton, Jennifer Gareis, Artie Lange, Steven M. Porter, Li Hagman, Jerry Collins, Will Ferrell, Phillip Krevoy, Eddie Driscoll, Steve Hudson, Andrew Whelan, Brian Pollack, Norman Krevoy, Cecile Krevoy, Glenn D. Feig, Mert Rich, Donte Calarco, Thomas Lennon, Brad Krevoy, Christoph Quest, Wieslawa Weselowska, Martin Richert, Roger Mussenden, Norbert Heisterkamp, Jami Ferrell, Clara May Beasley, Margo Castor, Evangelia Geovanekou, Katharina Maassen, Sandra Martellotta, Barbara Matziris, Diana Pink, Michelle Ruben, Jennifer Stehr, Katie Vigers, Anja Weber, Sterling Rice, Cheryl Connell, Bjorg Lovstad, Linda Mitchell, Nofit Shevach, Tatjana Tutan, Veroniqa Wallens, Erica Johnson, Jack Baldwin, John Baldwin, Shawn Scott",2003-03-21,2016-11-30,94.0,Artisan Entertainment,Rotten,7.0,90.0,Spilled,36.0,71031.0,25,6,84,Comedy
m/ritz,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2004-10-23,"The Ritz never quite succeeds. Its ambition is clearly to be a screwball comedy in the tradition of the 1930s classics and such recent attempts as What's Up, Doc? and Silent Movie. But it lacks the manic pacing, and the material grows thin",The Ritz,A tubby Ohio garbageman (Jack Weston) flees from his hit-man brother-in-law (Jerry Stiller) to a gay Turkish bath in Manhattan.,,R,"Art House & International, Classics, Comedy, Gay & Lesbian",Richard Lester,Terrence McNally,"Jack Weston, Rita Moreno, Jerry Stiller, Kaye Ballard, F. Murray Abraham, Paul B. Price, Treat Williams, John Everson, Christopher J. Brown, Dave King, Bessie Love, Tony De Santis, Ben Aris, Peter Butterworth, Ronnie Brody, Hal Galili, John Ratzenberger, Chris Harris, George Coulouris, Leon Greene, Freddie Earle, Hugh Fraser, Bart Allison, Samantha Weyson, Richard Holmes",1976-01-01,2016-11-21,91.0,Warner Home Video,Rotten,56.0,9.0,Upright,81.0,674.0,1,5,4,Comedy
m/beyond_therapy,Roger Ebert,True,Chicago Sun-Times,Rotten,1/4,2000-01-01,"It's a movie in which every scene must have seemed like a lot of fun at the time, but, when they're edited together, there's no pattern to the movie, nothing to build toward, no reason for us to care. It's all behavior.",Beyond Therapy,A bisexual New Yorker (Jeff Goldblum) seeing a psychiatrist meets a neurotic woman (Julie Hagerty) seeing a psychiatrist.,,R,Comedy,Robert Altman,"Robert Altman, Christopher Durang","Glenda Jackson, Tom Conti, Jeff Goldblum, Julie Hagerty, Christopher Guest, Geneviève Page, Cris Campion, Sandrine Dumas, Bertrand Bonvoisin, Nicole Evans, Louis-Marie Taillefer, Matthew Lesniak, Laure Killing, Gilbert Blin, Vincent Longuemare, Françoise Armel",1987-02-27,2015-01-14,93.0,New World Video,Rotten,20.0,10.0,Spilled,32.0,1219.0,3,2,8,Comedy
m/analyze_that,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2002-12-06,What we get in Analyze That are several talented actors delivering their familiar screen personas in the service of an idiotic plot.,Analyze That,"Mob boss Paul Vitti (Robert De Niro) is nearing the end of his term in Sing Sing, and the FBI agents monitoring him are baffled. Day after day they watch as New York's most notorious gangland figure walks around his cell in a semi-catatonic stupor. Is Vitti having a nervous breakdown because of recent threats on his life or is his odd behavior merely a foxy ploy to get him sprung from jail early?","The one joke premise is stretched a bit thin in this messy sequel, but a few laughs can be had here and there.",R,Comedy,Harold Ramis,"Harold Ramis, Peter Steinfeld, Peter Tolan","Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli, Cathy Moriarty, Anthony LaPaglia, Joey ""Coco"" Diaz, Thomas Rosales Jr., Brian Rogalski, Patrick Marcune, Joseph Bono, Jerome LePage, William DeMeo, Yogi Berra, Pat Cooper, Reg Rogers, John Finn, Kyle Sabihy, Donnamarie Recco, Callie Thorne, Frank Gio, Vincent Pastore, James Biberi, Firdous Bamji, Ted Neustadt, Rebecca Schull, David Wolos Fonteno, Slyvia Kauders, Kendall Pettygrove, Bea Super, Raymond Franza, Stephen Kampmann, Susie Gilder Hayes, Tom Papa, Sunny Chae, Sal Cecere, Richard Brennan, Joyce Brothers, Joe Torre, Michael De La Torre, Paul Herman, Charles A. Gargano, Dino Van Simco, Seth Isler, Anita Durst, Joseph D'Onofrio, David Salerno, Vinny Vella Sr., Alfred Sauchelli Jr., Frank Pietrangolare, Frank Aquilino, Chris Tardio, John F. Gooding, Henry Morales-Ballet, Scotty Dillin, Joe Columbo, Angelo Natoli, Anthony Krosinski, Nick Massi Jr., Frank Bonsangue, Ralph Cefarello, Joseph Marzella, Phil Campanella, Louis Fattell, Michael Zotto, Tony Vitucci, Paul John Cicero, Gene Di Silvio, Gaetano LoGiudice, Rino Vitucci, Richard Maldone, Leif Riddell, Suzanne Herrington, Michael Jannetta, Robert Cea, Annika Pergament, Bart Tangredi",2002-12-06,2010-06-17,95.0,Warner Bros.,Rotten,27.0,151.0,Spilled,39.0,190244.0,35,41,110,Comedy
m/super_troopers,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2002-02-15,I can't quite recommend it -- it's too patched together -- but I almost can; it's the kind of movie that makes you want to like it.,Super Troopers,"Always looking for action, five over-enthusiastic but under-stimulated Vermont State Troopers raise hell on the highway, keeping motorists anxiously looking in their rear-view mirrors. Between an ongoing feud with the local cops over whose you-know-what is bigger, and the state government wanting to shut them down, the ""Super Troopers"" find themselves precariously and hilariously heading toward calamity as they try to avoid extinction.","A more-miss -than-hit affair, Super Troopers will most likely appeal to those looking for something silly.",R,Comedy,Jay Chandrasekhar,"Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske, Jay Chandrasekhar, Broken Lizard","Brian Cox, Daniel von Bargen, Marisa Coughlan, Lynda Carter, Amy de Lucia, John Bedford Lloyd, Erik Stolhanske, Jay Chandrasekhar, Steve Lemme, Kevin Heffernan, Paul Soter, Jim Gaffigan, André Vippolis, Joey Kern, Geoffrey Arend, Camille Hickman, Aria Alpert, James Grace, Michael Weaver, Dan Fey, Chloe Kai O'Conner, Christian Albrizio, Jim Edwards, Jimmy Noonan, Philipp Brenninkmeyer, Maria Tornberg, Blanchard Ryan, Charlie Finn, Tracy Tobin, Rich Perello, Trish McGettrick, Danny Padilla, John Carlino, Walt McPherson, Jerry Walsh, Jane Heffernan, E.Michael Heffernan",2002-02-15,2015-11-25,103.0,Fox Searchlight,Rotten,35.0,88.0,Upright,90.0,262883.0,22,31,57,Comedy
m/stuff,Roger Ebert,True,Chicago Sun-Times,Rotten,1.5/4,2000-01-01,"The Stuff is a wildly ambitious movie that fails because it forgets to attend to its bottom line. Before you can make a clever, funny, satirical horror film, first you have to make a horror film.",The Stuff,A private detective investigates a new consumer taste treat that's absolutely delicious and just possibly lethal.,,R,"Comedy, Horror, Science Fiction & Fantasy",Larry Cohen,Larry Cohen,"Michael Moriarty, Andrea Marcovicci, Garrett Morris, Bruno Lawrence, Paul Sorvino, Scott Bloom, Danny Aiello, James Dixon, Alexander Scourby, Russell Nype, Gene O'Neill, Cathy Schultz, James Dukas, Peter Hock, Colette Blonigan, Robert Frank Telfer, Brian Bloom, Marilyn Staley, Beth Teagarden, Ann Dane, Harry Bellaver, Rutanya Alda, David Snell, Edward Power, Abe Vigoda, Clara Peller, Brooke Adams, Nick Taylor, Patrick O'Neal, Heidi Miller, Tammy Grimes, Adrianne Sachs, John Newton, Bobbi Burns, Laurene Landon",1985-06-14,2015-01-06,87.0,New World Pictures,Fresh,69.0,13.0,Spilled,45.0,6905.0,2,10,4,Comedy
m/blue_in_the_face,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2000-01-01,"Blue in the Face is more of a footnote. The best thing about it is the spirit that brought it into being, and the love of film that it reflects.",Blue in the Face,The manager (Harvey Keitel) of a Brooklyn cigar shop and his various customers make comments about smoking.,,R,"Art House & International, Comedy","Wayne Wang, Paul Auster","Paul Auster, Wayne Wang","Harvey Keitel, Lou Reed, Roseanne Barr, Michael J. Fox, Jim Jarmusch, Lily Tomlin, Mel Gorham, Jared Harris, Malik Yoba, Giancarlo Esposito, José Zúñiga, Stephen Gevedon, Victor Argo, Keith David, Mira Sorvino, Madonna, Michael Badalucco, Sharif Rashed, Michelle Hurst, Peggy Gormley, RuPaul, Ahmed Ben Larby, William Preston Robertson, James Dickson, Esteban Fernandez, Eileen Galindo, Lisa Scarola, Robert Jackson, Chelsea Altman, Teodorino Bello, Chief Bey, Diana Brownstone, Billy Cherry, Liz Anne Curtis, Rehanna Ellis, Ian Frazier, Sasalina Gambino, Cotton Green, Tatienne Hendricks-Tellefsen, Edmund Ikeda, John Lurie National Orchestra, Rusty Kanokoci, Nick Kosovich, Charles LaSalle, Kyle Larson, Gregory Misclagno, Liz Ramos, Raymond Rodriguez, Luc Sante, Dale Stotts, Ginger Thatcher, Debra Wilson",1995-10-13,2016-11-17,83.0,Miramax,Rotten,41.0,22.0,Upright,76.0,4763.0,4,9,13,Comedy
